FID,CH4,latitude,longitude,State
61175,1.95221231,39.27874184,-103.4224077,Colorado
61181,1.95287076,39.27879976,-103.4205026,Colorado
61187,1.95259149,39.27886172,-103.4185976,Colorado
61193,1.95401784,39.27890876,-103.4170719,Colorado
61199,1.95337064,39.27893378,-103.4163091,Colorado
61205,1.95309393,39.2789519,-103.39998,Colorado
61211,1.93856183,39.27897158,-103.7596239,Colorado
61217,1.9551226,39.27900726,-103.4140265,Colorado
61223,1.9517904,39.27903697,-103.4132669,Colorado
61229,1.95358415,39.27906345,-103.4125064,Colorado
61235,1.95491045,39.27910544,-103.3969534,Colorado
61241,1.95259961,39.27912417,-103.4102243,Colorado
61247,1.95269672,39.279141,-103.4086996,Colorado
61253,1.95174169,39.27921868,-103.3950678,Colorado
61259,1.94560587,39.27929599,-103.0250336,Colorado
61265,1.95105155,39.27938597,-103.392143,Colorado
61271,1.95040402,39.27946134,-103.3907316,Colorado
61277,1.93866661,39.27954818,-103.7621812,Colorado
61283,1.95108797,39.27961033,-103.3883235,Colorado
61289,1.93564937,39.27971097,-103.7629114,Colorado
61295,1.95074485,39.27976607,-103.3855789,Colorado
61301,1.95406684,39.27985879,-103.383858,Colorado
61307,1.95286255,39.27989004,-103.3831689,Colorado
61313,1.95683391,39.27996401,-103.3810839,Colorado
61319,1.95571604,39.28002137,-103.3792907,Colorado
61325,1.95711752,39.28007841,-103.3774907,Colorado
61331,1.95415624,39.28013268,-102.9532416,Colorado
61337,1.9455137,39.28018503,-103.0286187,Colorado
61343,1.95563159,39.28024058,-103.3724184,Colorado
61349,1.95520308,39.28031203,-103.370248,Colorado
61355,1.93766226,39.28036372,-103.765815,Colorado
61361,1.95295583,39.2804154,-103.3670584,Colorado
61367,1.95339545,39.28046995,-103.3653199,Colorado
61373,1.95357553,39.28051362,-103.3639486,Colorado
61379,1.95348585,39.28057146,-103.3619427,Colorado
61385,1.95170834,39.28061877,-103.360604,Colorado
61391,1.95244757,39.280684,-103.3592252,Colorado
61397,1.95097888,39.28078131,-103.3574659,Colorado
61403,1.94421021,39.28083533,-103.0312574,Colorado
61409,1.95777564,39.28092951,-103.3546817,Colorado
61415,1.95846587,39.28098471,-103.3533047,Colorado
61421,1.95593893,39.2810326,-103.3519129,Colorado
61427,1.95638745,39.28109971,-103.3497612,Colorado
61433,1.95411705,39.28114957,-102.9477503,Colorado
61439,1.95559625,39.28121663,-102.9473822,Colorado
61445,1.95767037,39.28125909,-103.344657,Colorado
61451,1.95578971,39.28127959,-103.3342681,Colorado
61457,1.9521958,39.28129425,-103.3345356,Colorado
61463,1.95376882,39.28132924,-103.3316692,Colorado
61469,1.95533343,39.28136048,-103.3414578,Colorado
61475,1.95559703,39.28138261,-103.3407761,Colorado
61481,1.95225318,39.28141247,-103.3291886,Colorado
61487,1.95117041,39.28143237,-103.3358756,Colorado
61493,1.9346592,39.28145677,-103.7701467,Colorado
61499,1.9514611,39.28148737,-103.3267003,Colorado
61505,1.95220646,39.28150762,-103.3260831,Colorado
61511,1.95061824,39.28155867,-103.3245437,Colorado
61517,1.94772344,39.28159689,-103.0343511,Colorado
61523,1.93629678,39.28165655,-103.7708696,Colorado
61529,1.95319726,39.28169728,-102.9448171,Colorado
61535,1.94748835,39.28174726,-103.0349617,Colorado
61541,1.94763029,39.28178671,-103.3173005,Colorado
61547,1.94684408,39.28184657,-103.3151947,Colorado
61553,1.94918124,39.28188373,-103.3140052,Colorado
61559,1.95059326,39.28193378,-103.312501,Colorado
61565,1.95201832,39.28197313,-103.3112804,Colorado
61571,1.95361636,39.28204018,-103.3091097,Colorado
61577,1.9548188,39.28209372,-103.3075477,Colorado
61583,1.95483051,39.28212205,-103.3065843,Colorado
61589,1.9569441,39.28219166,-103.3043197,Colorado
61595,1.95381317,39.28223522,-102.941902,Colorado
61601,1.95256553,39.28229963,-103.3008765,Colorado
61607,1.94236907,39.28234088,-103.0374019,Colorado
61613,1.95075636,39.2823961,-103.2978606,Colorado
61619,1.95257506,39.28242146,-103.2969727,Colorado
61625,1.95554008,39.28243811,-102.9408031,Colorado
61631,1.95172413,39.28244497,-103.2715109,Colorado
61637,1.95176245,39.28246577,-103.2954976,Colorado
61643,1.95108123,39.28249295,-103.27347,Colorado
61649,1.95121271,39.28251708,-103.2670078,Colorado
61655,1.95172825,39.28253808,-103.2750528,Colorado
61661,1.95230075,39.28256412,-103.2759629,Colorado
61667,1.95054878,39.28258351,-103.2765638,Colorado
61673,1.95042664,39.28260327,-103.2911075,Colorado
61679,1.95090016,39.28262271,-103.2905033,Colorado
61685,1.9427535,39.28264709,-103.0386331,Colorado
61691,1.94677409,39.28267725,-103.2800636,Colorado
61697,1.94665951,39.28270139,-103.2809367,Colorado
61703,1.95133476,39.28272206,-103.2872905,Colorado
61709,1.95112675,39.28274294,-103.2826267,Colorado
61715,1.94855707,39.28275497,-103.2831721,Colorado
61721,1.94957323,39.28276072,-103.2845454,Colorado
61727,1.95568633,39.28285075,-102.9385887,Colorado
61733,1.94972469,39.28291485,-103.2630218,Colorado
61739,1.94365209,39.28302854,-103.0401699,Colorado
61745,1.94585128,39.28313739,-103.2614058,Colorado
61751,1.94483468,39.28324197,-103.0410462,Colorado
61757,1.94446336,39.28337716,-103.0416123,Colorado
61763,1.95325589,39.28346304,-102.9352917,Colorado
61769,1.94400081,39.28357662,-103.0424341,Colorado
61775,1.93723788,39.28366213,-103.7772773,Colorado
61781,1.94982051,39.28369147,-103.2556228,Colorado
61787,1.94768757,39.28376637,-103.2534893,Colorado
61793,1.94895335,39.28380137,-103.2523059,Colorado
61799,1.9508652,39.28384487,-103.2508757,Colorado
61805,1.94453648,39.28388874,-103.0438116,Colorado
61811,1.95256742,39.28392971,-102.9327505,Colorado
61817,1.95047161,39.2839841,-103.2462949,Colorado
61823,1.94829893,39.28403227,-103.2447734,Colorado
61829,1.94646043,39.28408958,-103.2428788,Colorado
61835,1.95184187,39.28413325,-102.9316676,Colorado
61841,1.9451557,39.28416686,-103.0452323,Colorado
61847,1.95129629,39.28422394,-103.2383245,Colorado
61853,1.95100968,39.28427011,-102.9309459,Colorado
61859,1.94611329,39.2843128,-103.0461065,Colorado
61865,1.94378545,39.28435425,-103.2341349,Colorado
61871,1.95105894,39.28440287,-102.9302241,Colorado
61877,1.946608,39.28444419,-103.0472709,Colorado
61883,1.94531177,39.28448303,-103.0481431,Colorado
61889,1.94753967,39.28450988,-103.0490041,Colorado
61895,1.9459249,39.28453694,-103.2282723,Colorado
61901,1.9469262,39.28457701,-103.2269489,Colorado
61907,1.94411405,39.2846158,-103.0504894,Colorado
61913,1.94557206,39.2846479,-103.0507964,Colorado
61919,1.95044409,39.28465845,-103.2227211,Colorado
61925,1.950422,39.28467087,-103.2222381,Colorado
61931,1.95114283,39.28470045,-103.2214137,Colorado
61937,1.95196531,39.28473482,-102.9284234,Colorado
61943,1.94875229,39.28479523,-103.2194174,Colorado
61949,1.94992208,39.2848479,-103.2179983,Colorado
61955,1.94913245,39.2848867,-103.2167829,Colorado
